date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:21	52167/52167	---M-Z	200	added ('OK')	text/html	etag:%225488594-cbc7-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html	(from )
16:15:21	228/228	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202016%2009:16:57%20GMT	http://htmlstream.com/robots.txt		(from )
16:15:22	572/572	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225488589-23c-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/favicon.ico	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/favicon.ico	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:24	121200/121200	---M--	200	added ('OK')	text/css	etag:%2254887a3-1d970-5387114624e00%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:25	52345/52345	---M--	200	added ('OK')	text/css	etag:%2254885f8-cc79-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/css/shop.style.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/css/shop.style.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:27	20740/20740	---M--	200	added ('OK')	text/css	etag:%225488636-5104-533473d60c540%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/css/headers/header-v5.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/css/headers/header-v5.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:28	1510/1510	---M--	200	added ('OK')	text/css	etag:%225488634-5e6-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/css/footers/footer-v4.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/css/footers/footer-v4.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:29	72259/72259	---M--	200	added ('OK')	text/css	etag:%225488776-11a43-52f3985eb8780%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/animate.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/animate.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:30	11032/11032	---M--	200	added ('OK')	text/css	etag:%225488896-2b18-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/line-icons/line-icons.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/line-icons/line-icons.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:30	21984/21984	---M--	200	added ('OK')	text/css	etag:%2254887c1-55e0-52bd948831100%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/font-awesome/css/font-awesome.min.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:31	2095/2095	---M--	200	added ('OK')	text/css	etag:%225488958-82f-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/noUiSlider/jquery.nouislider.min.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/noUiSlider/jquery.nouislider.min.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
16:15:31	53655/53655	---M--	200	added ('OK')	text/css	etag:%225488ad3-d197-52bd948925340%22	http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/scrollbar/css/jquery.mCustomScrollbar.css	C:/Program%20Files%20(x86)/Ampps/www/toko1/htmlstream.com/preview/unify-v1.9.6/E-Commerce/assets/plugins/scrollbar/css/jquery.mCustomScrollbar.css	(from http://htmlstream.com/preview/unify-v1.9.6/E-Commerce/shop-ui-filter-grid.html)
